COUNTY,FIP
Alameda,1
Alpine,3
Amador,5
Butte,7
Calaveras,9
Colusa,11
Contra Costa,13
Del Norte,15
El Dorado,17
Fresno,19
Glenn,21
Humboldt,23
Imperial,25
Inyo,27
Kern,29
Kings,31
Lake,33
Lassen,35
Los Angeles,37
Madera,39
Marin,41
Mariposa,43
Mendocino,45
Merced,47
Modoc,49
Mono,51
Monterey,53
Napa,55
Nevada,57
Orange,59
Placer,61
Plumas,63
Riverside,65
Sacramento,67
San Benito,69
San Bernardino,71
San Diego,73
San Francisco,75
San Joaquin,77
San Luis Obispo,79
San Mateo,81
Santa Barbara,83
Santa Clara,85
Santa Cruz,87
Shasta,89
Sierra,91
Siskiyou,93
Solano,95
Sonoma,97
Stanislaus,99
Sutter,101
Tehama,103
Trinity,105
Tulare,107
Tuolumne,109
Ventura,111
Yolo,113
Yuba,115
