,Date,LST,County_FIP
0,2020-12-21,289.17437970669835,001
58,2020-12-22,286.6305645933015,001
116,2020-12-23,286.59983044004844,001
174,2020-12-24,283.18690865093765,001
232,2020-12-25,283.34050632911396,001
290,2020-12-26,286.3560348162476,001
348,2020-12-27,285.015396039604,001
406,2020-12-28,284.75741131351873,001
464,2020-12-29,285.29505112474436,001
522,2020-12-30,286.0896159754225,001
580,2020-12-31,281.7291376701967,001
1,2020-12-21,276.88959076600213,003
59,2020-12-22,272.8594484995945,003
117,2020-12-23,270.9843133122585,003
175,2020-12-24,,003
233,2020-12-25,266.71666666666664,003
291,2020-12-26,268.9436968838527,003
349,2020-12-27,263.31357142857144,003
407,2020-12-28,264.8624390243903,003
465,2020-12-29,266.0211651917404,003
523,2020-12-30,265.4777358490566,003
581,2020-12-31,267.8615592203898,003
2,2020-12-21,285.3045511669659,005
60,2020-12-22,281.2379875333927,005
118,2020-12-23,280.5192699619772,005
176,2020-12-24,277.65278048780493,005
234,2020-12-25,282.00580645161284,005
292,2020-12-26,280.03095499451155,005
350,2020-12-27,,005
408,2020-12-28,278.3521739130435,005
466,2020-12-29,278.90927862342824,005
524,2020-12-30,282.79789341692793,005
582,2020-12-31,279.8330938987451,005
3,2020-12-21,285.52391239236243,007
61,2020-12-22,282.97316192225287,007
119,2020-12-23,283.93240334055054,007
177,2020-12-24,279.9645715609078,007
235,2020-12-25,270.9453968253968,007
293,2020-12-26,285.5729052876235,007
351,2020-12-27,,007
409,2020-12-28,282.40660130718953,007
467,2020-12-29,281.0631005586592,007
525,2020-12-30,282.97642585551336,007
583,2020-12-31,277.76291343283583,007
4,2020-12-21,286.89905419766205,009
62,2020-12-22,283.0787740164684,009
120,2020-12-23,282.11184293193725,009
178,2020-12-24,,009
236,2020-12-25,283.1788636363636,009
294,2020-12-26,280.6440485829959,009
352,2020-12-27,275.0302222222222,009
410,2020-12-28,279.1066148325359,009
468,2020-12-29,280.76956303724927,009
526,2020-12-30,278.60533950617287,009
584,2020-12-31,281.0591245283019,009
5,2020-12-21,287.67283518360375,011
63,2020-12-22,284.2745043633923,011
121,2020-12-23,286.0660490856593,011
179,2020-12-24,282.80719673161536,011
237,2020-12-25,,011
295,2020-12-26,287.22948071216615,011
353,2020-12-27,276.23,011
411,2020-12-28,284.74492513539343,011
469,2020-12-29,280.99311608961307,011
527,2020-12-30,285.2225268414482,011
585,2020-12-31,282.39419913419914,011
6,2020-12-21,286.98507726269315,013
64,2020-12-22,284.90646884272996,013
122,2020-12-23,285.1628825622776,013
180,2020-12-24,283.35273951320556,013
238,2020-12-25,277.62,013
296,2020-12-26,285.1435119538334,013
354,2020-12-27,280.9121503131524,013
412,2020-12-28,282.2484485981309,013
470,2020-12-29,285.3584755244755,013
528,2020-12-30,287.0107315288954,013
586,2020-12-31,282.613417721519,013
7,2020-12-21,280.7345556805399,015
65,2020-12-22,276.88884942471236,015
123,2020-12-23,279.463121242485,015
181,2020-12-24,281.39348837209303,015
239,2020-12-25,250.8,015
297,2020-12-26,277.1645245245245,015
355,2020-12-27,277.7569361468896,015
413,2020-12-28,278.80978200952137,015
471,2020-12-29,276.1289331210191,015
529,2020-12-30,,015
587,2020-12-31,274.8901365187713,015
8,2020-12-21,283.3891485955465,017
66,2020-12-22,279.75051546391757,017
124,2020-12-23,279.6355587902313,017
182,2020-12-24,275.76235294117646,017
240,2020-12-25,270.2167938931298,017
298,2020-12-26,272.443311627907,017
356,2020-12-27,,017
414,2020-12-28,272.2520186697783,017
472,2020-12-29,277.4796975060338,017
530,2020-12-30,279.6606188466948,017
588,2020-12-31,276.4861286871466,017
9,2020-12-21,284.56132302055767,019
67,2020-12-22,277.68439781787663,019
125,2020-12-23,279.2467741935484,019
183,2020-12-24,278.53909909909913,019
241,2020-12-25,283.0181352833638,019
299,2020-12-26,288.68300319488816,019
357,2020-12-27,285.88032683846643,019
415,2020-12-28,285.71443070165304,019
473,2020-12-29,277.27675955024796,019
531,2020-12-30,283.1882135435328,019
589,2020-12-31,270.95638464893153,019
10,2020-12-21,287.79882997118153,021
68,2020-12-22,284.2084971882878,021
126,2020-12-23,286.63932263814615,021
184,2020-12-24,285.2499114297765,021
242,2020-12-25,,021
300,2020-12-26,286.6721138613861,021
358,2020-12-27,274.6743795620438,021
416,2020-12-28,283.9245982545892,021
474,2020-12-29,281.91240601503756,021
532,2020-12-30,284.5878140643623,021
590,2020-12-31,282.06992366412203,021
11,2020-12-21,282.3080222582889,023
69,2020-12-22,278.54770469997044,023
127,2020-12-23,281.1286884178543,023
185,2020-12-24,280.21221633085895,023
243,2020-12-25,268.9256,023
301,2020-12-26,279.6225771324864,023
359,2020-12-27,278.93277373590394,023
417,2020-12-28,279.47867075978513,023
475,2020-12-29,278.891885,023
533,2020-12-30,,023
591,2020-12-31,277.39260833677264,023
12,2020-12-21,298.65646772381075,025
70,2020-12-22,295.31456710538095,025
128,2020-12-23,286.2510638297873,025
186,2020-12-24,,025
244,2020-12-25,295.846198414185,025
302,2020-12-26,286.0588826815643,025
360,2020-12-27,297.52029468044395,025
418,2020-12-28,290.2074387442573,025
476,2020-12-29,292.9489345451768,025
534,2020-12-30,293.13156946343815,025
592,2020-12-31,290.90556468172485,025
13,2020-12-21,290.4260780815448,027
71,2020-12-22,289.78320940906485,027
129,2020-12-23,285.32701641375036,027
187,2020-12-24,,027
245,2020-12-25,284.4914772071552,027
303,2020-12-26,283.3887324094962,027
361,2020-12-27,254.6911111111111,027
419,2020-12-28,281.3530711043873,027
477,2020-12-29,279.7878370655167,027
535,2020-12-30,281.9957486178495,027
593,2020-12-31,275.06118308685694,027
14,2020-12-21,293.064976955154,029
72,2020-12-22,291.69496713746327,029
130,2020-12-23,287.5830993326488,029
188,2020-12-24,283.56666666666666,029
246,2020-12-25,290.16127692139503,029
304,2020-12-26,286.7408476286579,029
362,2020-12-27,290.03492487479133,029
420,2020-12-28,282.88979407979406,029
478,2020-12-29,283.4577972027972,029
536,2020-12-30,284.99181658568455,029
594,2020-12-31,284.42462184873955,029
15,2020-12-21,294.077103020914,031
73,2020-12-22,292.9070056497176,031
131,2020-12-23,285.10211515863693,031
189,2020-12-24,,031
247,2020-12-25,288.52895918367346,031
305,2020-12-26,286.4911760299625,031
363,2020-12-27,291.43709090909095,031
421,2020-12-28,283.44043577981654,031
479,2020-12-29,286.85683972911966,031
537,2020-12-30,289.94599434905456,031
595,2020-12-31,284.21875,031
16,2020-12-21,286.4658067015301,033
74,2020-12-22,283.0419793894614,033
132,2020-12-23,284.8716789453277,033
190,2020-12-24,279.96144615384617,033
