Value,MODLAND,Emis Error flag,LST Error Flag,Data Quality flag
0,"LST produced, good quality, not necessary to examine more detailed QA",Average emissivity error <= 0.01,Average LST error <= 1K,Good data quality
2,LST not produced due to cloud effects,Average emissivity error <= 0.01,Average LST error <= 1K,Good data quality
3,LST not produced primarily due to reasons other than cloud,Average emissivity error <= 0.01,Average LST error <= 1K,Good data quality
8,"LST produced, good quality, not necessary to examine more detailed QA",Average emissivity error <= 0.01,Average LST error <= 1K,TBD
17,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.02,Average LST error <= 1K,Good data quality
25,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.02,Average LST error <= 1K,TBD
65,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.01,Average LST error <= 2K,Good data quality
73,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.01,Average LST error <= 2K,TBD
81,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.02,Average LST error <= 2K,Good data quality
89,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.02,Average LST error <= 2K,TBD
129,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.01,Average LST error <= 3K,Good data quality
137,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.01,Average LST error <= 3K,TBD
145,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.02,Average LST error <= 3K,Good data quality
153,"LST produced, other quality, recommend examination of more detailed QA",Average emissivity error <= 0.02,Average LST error <= 3K,TBD
