File,aid,Date,0,2,3,8,17,25,65,73,81,89,129,137,145,153
QC_Day_2019001_aid0001,aid0001,2019-01-01,388403,221210,34183,34587.0,209283.0,12.0,185856,35800.0,104350,134.0,,,1696,
QC_Day_2019002_aid0001,aid0001,2019-01-02,182026,460896,34183,25539.0,87272.0,10.0,243809,55562.0,115429,44.0,334.0,89.0,10320,1.0
QC_Day_2019003_aid0001,aid0001,2019-01-03,271459,427225,34183,15839.0,252170.0,47.0,111447,10485.0,88697,130.0,3.0,,3829,
QC_Day_2019004_aid0001,aid0001,2019-01-04,68134,848647,34183,1735.0,25439.0,,128697,10930.0,77390,25.0,21.0,,20313,
QC_Day_2019005_aid0001,aid0001,2019-01-05,8548,1138344,34183,1507.0,131.0,,26790,3055.0,2893,2.0,,,61,
QC_Day_2019006_aid0001,aid0001,2019-01-06,11566,1040030,34183,1644.0,11659.0,1.0,49364,18146.0,42842,209.0,99.0,,5766,5.0
QC_Day_2019007_aid0001,aid0001,2019-01-07,51267,879218,34183,6614.0,55999.0,3.0,104657,24110.0,52857,27.0,,,6579,
QC_Day_2019008_aid0001,aid0001,2019-01-08,4679,1119827,34183,223.0,1362.0,,18558,2167.0,29854,4.0,323.0,707.0,3627,
QC_Day_2019009_aid0001,aid0001,2019-01-09,49509,813241,34183,2315.0,83949.0,23.0,90407,17751.0,108061,59.0,,,16016,
QC_Day_2019010_aid0001,aid0001,2019-01-10,289961,318803,34183,15875.0,219668.0,65.0,213575,24126.0,94777,184.0,2.0,,4293,2.0
QC_Day_2019011_aid0001,aid0001,2019-01-11,21227,1003192,34183,1141.0,41161.0,,53935,6271.0,51526,11.0,111.0,,2756,
QC_Day_2019012_aid0001,aid0001,2019-01-12,312392,467907,34183,13416.0,62857.0,10.0,225116,16225.0,79576,56.0,9.0,,3767,
QC_Day_2019013_aid0001,aid0001,2019-01-13,296286,565998,34183,41197.0,15725.0,7.0,151269,41598.0,64654,76.0,58.0,,4462,1.0
QC_Day_2019014_aid0001,aid0001,2019-01-14,116830,842678,34183,5999.0,5940.0,,153753,14332.0,40322,6.0,,,1471,
QC_Day_2019015_aid0001,aid0001,2019-01-15,5910,1109973,34183,208.0,15.0,,53071,9606.0,2092,,27.0,,429,
QC_Day_2019016_aid0001,aid0001,2019-01-16,20984,1048608,34183,1438.0,30001.0,3.0,26777,2794.0,43334,20.0,,,7372,
QC_Day_2019017_aid0001,aid0001,2019-01-17,14456,1042138,34183,1854.0,941.0,4.0,78041,9946.0,32735,47.0,324.0,,845,
QC_Day_2019018_aid0001,aid0001,2019-01-18,24268,891776,34183,4706.0,52788.0,1.0,75950,17560.0,107916,180.0,,,6186,
QC_Day_2019019_aid0001,aid0001,2019-01-19,130299,799323,34183,940.0,128061.0,25.0,48310,1397.0,69539,33.0,19.0,,3385,
QC_Day_2019020_aid0001,aid0001,2019-01-20,8270,1132751,34183,457.0,2748.0,2.0,20760,2270.0,12493,6.0,38.0,,1536,
QC_Day_2019021_aid0001,aid0001,2019-01-21,175335,527398,34183,6064.0,137279.0,,211123,19988.0,96526,32.0,,,7586,
QC_Day_2019022_aid0001,aid0001,2019-01-22,150732,647627,34183,40406.0,35513.0,77.0,138131,47727.0,111439,516.0,12.0,10.0,9141,
QC_Day_2019023_aid0001,aid0001,2019-01-23,226235,458820,34183,9977.0,217858.0,31.0,153952,15580.0,88014,123.0,8.0,,10725,8.0
QC_Day_2019024_aid0001,aid0001,2019-01-24,452543,212361,34183,42056.0,174278.0,393.0,171315,22897.0,98842,245.0,28.0,,6373,
QC_Day_2019025_aid0001,aid0001,2019-01-25,219828,364226,34183,18564.0,80475.0,21.0,283652,30893.0,153663,95.0,14.0,,29900,
QC_Day_2019026_aid0001,aid0001,2019-01-26,231376,441624,34183,15012.0,236292.0,100.0,155612,11637.0,86703,122.0,,,2853,
QC_Day_2019027_aid0001,aid0001,2019-01-27,145873,691640,34183,15984.0,35730.0,1.0,169701,26859.0,88698,37.0,1746.0,35.0,5026,1.0
QC_Day_2019028_aid0001,aid0001,2019-01-28,60658,805333,34183,3025.0,108169.0,12.0,91348,4955.0,103839,37.0,71.0,,3884,
QC_Day_2019029_aid0001,aid0001,2019-01-29,217250,761957,34183,16184.0,869.0,,153228,14330.0,15816,12.0,157.0,,1528,
QC_Day_2019030_aid0001,aid0001,2019-01-30,295906,398622,34183,7738.0,132974.0,2.0,238159,13761.0,85248,24.0,2.0,,8895,
QC_Day_2019031_aid0001,aid0001,2019-01-31,425574,497706,34183,24527.0,23002.0,33.0,149369,17045.0,38962,20.0,26.0,,5067,
QC_Day_2019032_aid0001,aid0001,2019-02-01,57762,853684,34183,556.0,105390.0,,55472,2164.0,93816,18.0,,,12469,
QC_Day_2019033_aid0001,aid0001,2019-02-02,21575,1072058,34183,273.0,1207.0,,64742,1265.0,19324,13.0,100.0,,774,
QC_Day_2019034_aid0001,aid0001,2019-02-03,24142,942714,34183,1482.0,55776.0,1.0,63038,9672.0,77437,91.0,,,6976,2.0
QC_Day_2019035_aid0001,aid0001,2019-02-04,33199,972391,34183,1162.0,10584.0,,87316,6048.0,68506,39.0,,,2085,1.0
QC_Day_2019036_aid0001,aid0001,2019-02-05,38097,1031770,34183,405.0,1014.0,,77394,4200.0,24871,7.0,27.0,,3546,
QC_Day_2019037_aid0001,aid0001,2019-02-06,191027,585245,34183,9888.0,154003.0,16.0,121341,16958.0,98498,102.0,1.0,,4252,
QC_Day_2019038_aid0001,aid0001,2019-02-07,54009,860123,34183,8382.0,39223.0,80.0,79869,29728.0,103816,287.0,95.0,217.0,5501,1.0
QC_Day_2019039_aid0001,aid0001,2019-02-08,176704,520226,34183,9419.0,207572.0,152.0,145690,21359.0,94656,265.0,6.0,,5282,
QC_Day_2019040_aid0001,aid0001,2019-02-09,27295,905311,34183,2429.0,23995.0,4.0,92124,20251.0,99670,118.0,9.0,,10125,
QC_Day_2019041_aid0001,aid0001,2019-02-10,50963,771811,34183,3906.0,101336.0,4.0,107497,41896.0,89383,84.0,3.0,,14448,
QC_Day_2019042_aid0001,aid0001,2019-02-11,226487,490759,34183,48820.0,202370.0,166.0,92346,44849.0,73441,304.0,4.0,,1785,
QC_Day_2019043_aid0001,aid0001,2019-02-12,8344,1042224,34183,2078.0,46867.0,10.0,18568,5522.0,55446,11.0,,,2261,
QC_Day_2019044_aid0001,aid0001,2019-02-13,879,1162556,34183,303.0,,,14238,3070.0,274,,,,11,
QC_Day_2019045_aid0001,aid0001,2019-02-14,12085,1105978,34183,1145.0,199.0,4.0,47258,9989.0,4263,76.0,,,334,
QC_Day_2019046_aid0001,aid0001,2019-02-15,34570,889076,34183,2299.0,35193.0,15.0,112809,18676.0,83629,162.0,,,4901,1.0
QC_Day_2019047_aid0001,aid0001,2019-02-16,29244,864718,34183,1849.0,45130.0,21.0,104040,25557.0,101364,181.0,54.0,,9172,1.0
QC_Day_2019048_aid0001,aid0001,2019-02-17,60537,783671,34183,3525.0,49646.0,10.0,132376,33676.0,103045,42.0,10.0,,14793,
QC_Day_2019049_aid0001,aid0001,2019-02-18,210848,541803,34183,12164.0,50436.0,6.0,195401,33995.0,127633,288.0,74.0,,8682,1.0
QC_Day_2019050_aid0001,aid0001,2019-02-19,126541,546813,34183,42254.0,99817.0,62.0,174660,58270.0,122019,309.0,152.0,19.0,10414,1.0
QC_Day_2019051_aid0001,aid0001,2019-02-20,51865,876490,34183,602.0,37487.0,2.0,117156,12947.0,82003,66.0,2.0,,2709,2.0
QC_Day_2019052_aid0001,aid0001,2019-02-21,138940,888992,34183,13593.0,985.0,1.0,93670,35668.0,8172,2.0,,,1308,
QC_Day_2019053_aid0001,aid0001,2019-02-22,378520,258912,34183,52196.0,95243.0,304.0,226038,39115.0,126452,854.0,6.0,,3686,5.0
QC_Day_2019054_aid0001,aid0001,2019-02-23,77621,789422,34183,19671.0,34496.0,358.0,98393,51533.0,95069,976.0,625.0,1057.0,12069,41.0
QC_Day_2019055_aid0001,aid0001,2019-02-24,73676,803492,34183,2219.0,77174.0,50.0,91369,7096.0,117172,294.0,2.0,,8787,
QC_Day_2019056_aid0001,aid0001,2019-02-25,108563,782116,34183,12228.0,91860.0,119.0,71684,12269.0,97276,502.0,50.0,10.0,4652,2.0
