File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD11A1_006_LST_Day_1km_doy2019001_aid0001,LST_Day_1km,aid0001,2019-01-01,960121.0,253.6,295.7,"(253.6,295.7)",276.026,7.8803,62.099,282.8,295.7,276.22,253.6,270.24
MOD11A1_006_LST_Day_1km_doy2019002_aid0001,LST_Day_1km,aid0001,2019-01-02,720435.0,255.02,296.7,"(255.02,296.7)",278.308,7.1552,51.1974,284.0,296.7,279.32,256.36,272.94
MOD11A1_006_LST_Day_1km_doy2019003_aid0001,LST_Day_1km,aid0001,2019-01-03,754106.0,252.18,299.78,"(252.18,299.78)",283.2747,6.9076,47.7146,288.36,299.78,284.7,264.86,278.96
MOD11A1_006_LST_Day_1km_doy2019004_aid0001,LST_Day_1km,aid0001,2019-01-04,332684.0,252.98,300.36,"(252.98,300.36)",283.8741,6.3572,40.4143,288.56,300.36,285.08,267.52,280.14
MOD11A1_006_LST_Day_1km_doy2019005_aid0001,LST_Day_1km,aid0001,2019-01-05,42987.0,239.46,293.66,"(239.46,293.66)",274.1107,4.4226,19.5598,277.12,285.28,273.9,263.52,271.68
MOD11A1_006_LST_Day_1km_doy2019006_aid0001,LST_Day_1km,aid0001,2019-01-06,141301.0,254.52,297.34,"(254.52,297.34)",278.4275,7.6648,58.7487,284.62,297.34,279.44,254.52,271.5
MOD11A1_006_LST_Day_1km_doy2019007_aid0001,LST_Day_1km,aid0001,2019-01-07,302113.0,254.72,300.32,"(254.72,300.32)",282.0647,9.9967,99.9342,290.14,300.32,285.88,254.72,272.58
MOD11A1_006_LST_Day_1km_doy2019008_aid0001,LST_Day_1km,aid0001,2019-01-08,61504.0,252.1,302.56,"(252.1,302.56)",285.4861,7.2275,52.2373,290.4,302.56,287.42,269.2,281.92
MOD11A1_006_LST_Day_1km_doy2019009_aid0001,LST_Day_1km,aid0001,2019-01-09,368090.0,247.3,304.3,"(247.3,304.3)",286.2483,8.1411,66.2767,292.6,304.3,288.32,261.86,280.3
MOD11A1_006_LST_Day_1km_doy2019010_aid0001,LST_Day_1km,aid0001,2019-01-10,862528.0,256.14,307.58,"(256.14,307.58)",283.9522,7.9917,63.8667,290.22,307.58,284.48,257.92,277.3
MOD11A1_006_LST_Day_1km_doy2019011_aid0001,LST_Day_1km,aid0001,2019-01-11,178139.0,257.56,304.6,"(257.56,304.6)",285.2327,8.4136,70.7886,292.18,304.6,285.94,262.48,280.3
MOD11A1_006_LST_Day_1km_doy2019012_aid0001,LST_Day_1km,aid0001,2019-01-12,713424.0,256.8,304.16,"(256.8,304.16)",279.9456,6.6403,44.0932,284.82,299.96,279.94,259.58,274.72
MOD11A1_006_LST_Day_1km_doy2019013_aid0001,LST_Day_1km,aid0001,2019-01-13,615333.0,254.78,297.84,"(254.78,297.84)",278.7379,6.0471,36.5673,283.1,296.24,279.18,261.2,274.34
MOD11A1_006_LST_Day_1km_doy2019014_aid0001,LST_Day_1km,aid0001,2019-01-14,338653.0,253.94,305.2,"(253.94,305.2)",277.0135,7.2352,52.3487,280.72,294.52,276.98,257.72,271.52
MOD11A1_006_LST_Day_1km_doy2019015_aid0001,LST_Day_1km,aid0001,2019-01-15,71358.0,254.8,288.9,"(254.8,288.9)",274.263,4.163,17.3309,277.14,285.94,274.56,262.44,271.26
MOD11A1_006_LST_Day_1km_doy2019016_aid0001,LST_Day_1km,aid0001,2019-01-16,132723.0,253.2,300.88,"(253.2,300.88)",287.8481,7.7318,59.7806,293.1,300.88,290.38,274.46,285.64
MOD11A1_006_LST_Day_1km_doy2019017_aid0001,LST_Day_1km,aid0001,2019-01-17,139193.0,245.62,308.62,"(245.62,308.62)",278.4678,7.4227,55.0971,283.3,298.66,277.72,257.8,273.06
MOD11A1_006_LST_Day_1km_doy2019018_aid0001,LST_Day_1km,aid0001,2019-01-18,289555.0,256.52,305.9,"(256.52,305.9)",283.8449,7.9556,63.291,289.06,303.6,285.52,264.82,279.36
MOD11A1_006_LST_Day_1km_doy2019019_aid0001,LST_Day_1km,aid0001,2019-01-19,382008.0,254.08,306.64,"(254.08,306.64)",288.8816,6.6215,43.8443,292.96,303.6,289.56,275.22,285.86
MOD11A1_006_LST_Day_1km_doy2019020_aid0001,LST_Day_1km,aid0001,2019-01-20,48580.0,253.38,301.44,"(253.38,301.44)",283.8103,7.5087,56.3811,288.88,301.44,284.44,266.38,279.88
MOD11A1_006_LST_Day_1km_doy2019021_aid0001,LST_Day_1km,aid0001,2019-01-21,653933.0,249.6,306.2,"(249.6,306.2)",282.6007,8.7937,77.3297,288.7,306.2,284.34,256.8,275.94
MOD11A1_006_LST_Day_1km_doy2019022_aid0001,LST_Day_1km,aid0001,2019-01-22,533704.0,255.32,298.72,"(255.32,298.72)",277.2259,8.071,65.1406,283.52,298.72,277.84,255.32,270.46
MOD11A1_006_LST_Day_1km_doy2019023_aid0001,LST_Day_1km,aid0001,2019-01-23,722511.0,262.2,304.1,"(262.2,304.1)",284.9688,7.1813,51.5712,289.96,304.1,286.54,265.52,280.18
MOD11A1_006_LST_Day_1km_doy2019024_aid0001,LST_Day_1km,aid0001,2019-01-24,968970.0,261.22,303.24,"(261.22,303.24)",282.8611,6.9396,48.1579,288.82,303.24,282.74,261.22,277.26
MOD11A1_006_LST_Day_1km_doy2019025_aid0001,LST_Day_1km,aid0001,2019-01-25,817105.0,256.84,307.14,"(256.84,307.14)",284.1417,8.2773,68.513,290.28,307.14,284.28,259.3,277.86
MOD11A1_006_LST_Day_1km_doy2019026_aid0001,LST_Day_1km,aid0001,2019-01-26,739707.0,262.08,305.44,"(262.08,305.44)",285.0215,8.0674,65.0826,291.54,305.44,284.26,262.08,278.46
MOD11A1_006_LST_Day_1km_doy2019027_aid0001,LST_Day_1km,aid0001,2019-01-27,489691.0,262.64,306.56,"(262.64,306.56)",285.61,7.7298,59.7504,291.18,306.56,285.96,262.64,278.96
MOD11A1_006_LST_Day_1km_doy2019028_aid0001,LST_Day_1km,aid0001,2019-01-28,375998.0,256.92,309.1,"(256.92,309.1)",287.1456,8.3445,69.6304,293.04,308.98,289.04,266.44,282.4
MOD11A1_006_LST_Day_1km_doy2019029_aid0001,LST_Day_1km,aid0001,2019-01-29,419374.0,259.02,310.22,"(259.02,310.22)",281.0543,5.3936,29.0904,283.94,293.54,281.0,267.94,277.54
MOD11A1_006_LST_Day_1km_doy2019030_aid0001,LST_Day_1km,aid0001,2019-01-30,782709.0,259.54,310.0,"(259.54,310.0)",283.9902,7.0699,49.9836,289.72,306.54,283.36,261.74,278.5
MOD11A1_006_LST_Day_1km_doy2019031_aid0001,LST_Day_1km,aid0001,2019-01-31,683625.0,260.42,306.64,"(260.42,306.64)",283.1732,5.0433,25.4346,286.56,297.06,282.94,269.06,279.56
MOD11A1_006_LST_Day_1km_doy2019032_aid0001,LST_Day_1km,aid0001,2019-02-01,327647.0,261.26,306.72,"(261.26,306.72)",290.9008,7.5918,57.6349,296.64,306.72,292.4,270.54,286.2
MOD11A1_006_LST_Day_1km_doy2019033_aid0001,LST_Day_1km,aid0001,2019-02-02,109273.0,256.22,308.88,"(256.22,308.88)",285.1987,7.8093,60.9857,288.94,302.08,283.78,267.04,280.18
MOD11A1_006_LST_Day_1km_doy2019034_aid0001,LST_Day_1km,aid0001,2019-02-03,238617.0,249.56,307.58,"(249.56,307.58)",286.5181,7.8232,61.2025,291.84,304.96,287.78,269.94,283.08
MOD11A1_006_LST_Day_1km_doy2019035_aid0001,LST_Day_1km,aid0001,2019-02-04,208940.0,245.1,304.98,"(245.1,304.98)",283.5435,8.1427,66.3034,289.22,304.84,283.9,263.18,278.8
MOD11A1_006_LST_Day_1km_doy2019036_aid0001,LST_Day_1km,aid0001,2019-02-05,149561.0,243.0,307.24,"(243.0,307.24)",281.9064,8.1838,66.9749,285.02,297.8,281.76,263.72,276.5
MOD11A1_006_LST_Day_1km_doy2019037_aid0001,LST_Day_1km,aid0001,2019-02-06,596086.0,251.14,306.46,"(251.14,306.46)",281.9786,9.5233,90.6939,288.02,304.66,284.12,260.28,276.92
MOD11A1_006_LST_Day_1km_doy2019038_aid0001,LST_Day_1km,aid0001,2019-02-07,321208.0,253.88,301.88,"(253.88,301.88)",279.5917,9.001,81.0188,286.34,301.88,281.48,257.2,274.68
MOD11A1_006_LST_Day_1km_doy2019039_aid0001,LST_Day_1km,aid0001,2019-02-08,661105.0,246.84,306.4,"(246.84,306.4)",282.5674,10.5525,111.3543,290.2,306.4,285.22,249.14,273.7
MOD11A1_006_LST_Day_1km_doy2019040_aid0001,LST_Day_1km,aid0001,2019-02-09,276020.0,247.38,301.86,"(247.38,301.86)",281.2309,8.3407,69.5665,287.2,301.86,282.97,260.56,276.54
MOD11A1_006_LST_Day_1km_doy2019041_aid0001,LST_Day_1km,aid0001,2019-02-10,409520.0,249.1,308.16,"(249.1,308.16)",283.7024,11.0736,122.6247,291.88,308.16,285.74,252.24,276.02
MOD11A1_006_LST_Day_1km_doy2019042_aid0001,LST_Day_1km,aid0001,2019-02-11,690572.0,255.58,305.8,"(255.58,305.8)",281.6971,10.5929,112.2102,289.74,305.8,284.6,255.58,270.3
MOD11A1_006_LST_Day_1km_doy2019043_aid0001,LST_Day_1km,aid0001,2019-02-12,139107.0,253.94,301.74,"(253.94,301.74)",287.8248,8.3303,69.3932,293.94,301.74,290.14,268.3,283.68
MOD11A1_006_LST_Day_1km_doy2019044_aid0001,LST_Day_1km,aid0001,2019-02-13,18775.0,252.24,288.36,"(252.24,288.36)",270.1648,4.9346,24.3505,272.4,279.48,269.96,260.62,267.68
