File,aid,Date,(3) non-fire water,(4) cloud (land or water),(5) non-fire land,(6) unknown,(7) fire (low confidence),(8) fire (nominal confidence),(9) fire (high confidence)
FireMask_2019001_aid0001,aid0001,2019-01-01,38875,39212.0,545566,,,2.0,
FireMask_2019002_aid0001,aid0001,2019-01-02,38637,20012.0,564981,,2.0,21.0,2.0
FireMask_2019003_aid0001,aid0001,2019-01-03,32013,86184.0,505452,,1.0,3.0,2.0
FireMask_2019004_aid0001,aid0001,2019-01-04,32683,52554.0,538396,,,22.0,
FireMask_2019005_aid0001,aid0001,2019-01-05,10344,483345.0,129966,,,,
FireMask_2019006_aid0001,aid0001,2019-01-06,28044,221030.0,374581,,,,
FireMask_2019007_aid0001,aid0001,2019-01-07,33801,136729.0,453089,,2.0,28.0,6.0
FireMask_2019008_aid0001,aid0001,2019-01-08,11532,395594.0,216521,,,5.0,3.0
FireMask_2019009_aid0001,aid0001,2019-01-09,22078,248480.0,353092,,,5.0,
FireMask_2019010_aid0001,aid0001,2019-01-10,34894,24820.0,563940,,,1.0,
FireMask_2019011_aid0001,aid0001,2019-01-11,17751,262080.0,343824,,,,
FireMask_2019012_aid0001,aid0001,2019-01-12,33738,224962.0,364933,,1.0,15.0,6.0
FireMask_2019013_aid0001,aid0001,2019-01-13,36889,24608.0,562156,,,2.0,
FireMask_2019014_aid0001,aid0001,2019-01-14,17673,251595.0,354387,,,,
FireMask_2019015_aid0001,aid0001,2019-01-15,9155,468691.0,145809,,,,
FireMask_2019016_aid0001,aid0001,2019-01-16,18146,323109.0,282400,,,,
FireMask_2019017_aid0001,aid0001,2019-01-17,13227,430470.0,179958,,,,
FireMask_2019018_aid0001,aid0001,2019-01-18,24105,263429.0,336121,,,,
FireMask_2019019_aid0001,aid0001,2019-01-19,29807,162506.0,431341,,,1.0,
FireMask_2019020_aid0001,aid0001,2019-01-20,13802,388408.0,221443,,,2.0,
FireMask_2019021_aid0001,aid0001,2019-01-21,34652,118210.0,470792,,,1.0,
FireMask_2019022_aid0001,aid0001,2019-01-22,36041,57470.0,530143,,,1.0,
FireMask_2019023_aid0001,aid0001,2019-01-23,38548,39486.0,545610,,,9.0,2.0
FireMask_2019024_aid0001,aid0001,2019-01-24,36784,18219.0,568637,,,12.0,3.0
FireMask_2019025_aid0001,aid0001,2019-01-25,34691,24692.0,564269,,,1.0,2.0
FireMask_2019026_aid0001,aid0001,2019-01-26,35060,32056.0,556535,,,1.0,3.0
FireMask_2019027_aid0001,aid0001,2019-01-27,35969,30562.0,557124,,,,
FireMask_2019028_aid0001,aid0001,2019-01-28,31168,67283.0,525203,,,1.0,
FireMask_2019029_aid0001,aid0001,2019-01-29,26988,225895.0,370746,,4.0,20.0,2.0
FireMask_2019030_aid0001,aid0001,2019-01-30,32763,89107.0,501776,,,9.0,
FireMask_2019031_aid0001,aid0001,2019-01-31,33023,64769.0,525840,,2.0,15.0,6.0
FireMask_2019032_aid0001,aid0001,2019-02-01,20958,223842.0,378855,,,,
FireMask_2019033_aid0001,aid0001,2019-02-02,17394,476837.0,129417,,,2.0,5.0
FireMask_2019034_aid0001,aid0001,2019-02-03,29524,230958.0,363171,,,2.0,
FireMask_2019035_aid0001,aid0001,2019-02-04,20009,359416.0,244228,,,2.0,
FireMask_2019036_aid0001,aid0001,2019-02-05,31303,192290.0,400057,,,5.0,
FireMask_2019037_aid0001,aid0001,2019-02-06,32618,131595.0,459432,,,7.0,3.0
FireMask_2019038_aid0001,aid0001,2019-02-07,34998,137102.0,451550,,,4.0,1.0
FireMask_2019039_aid0001,aid0001,2019-02-08,29531,194373.0,399745,,,6.0,
FireMask_2019040_aid0001,aid0001,2019-02-09,29477,231528.0,362645,,,4.0,1.0
FireMask_2019041_aid0001,aid0001,2019-02-10,29915,168408.0,425332,,,,
FireMask_2019042_aid0001,aid0001,2019-02-11,31838,150539.0,441275,,,3.0,
FireMask_2019043_aid0001,aid0001,2019-02-12,18461,329012.0,276179,,,3.0,
FireMask_2019044_aid0001,aid0001,2019-02-13,755,612585.0,10315,,,,
FireMask_2019045_aid0001,aid0001,2019-02-14,11454,527874.0,84327,,,,
FireMask_2019046_aid0001,aid0001,2019-02-15,25483,286547.0,311625,,,,
FireMask_2019047_aid0001,aid0001,2019-02-16,30909,177831.0,414914,,,1.0,
FireMask_2019048_aid0001,aid0001,2019-02-17,32014,162749.0,428890,,,,2.0
FireMask_2019049_aid0001,aid0001,2019-02-18,36161,125454.0,462032,,,7.0,1.0
FireMask_2019050_aid0001,aid0001,2019-02-19,36220,102943.0,484477,,2.0,9.0,4.0
FireMask_2019051_aid0001,aid0001,2019-02-20,31513,215711.0,376427,,,3.0,1.0
FireMask_2019052_aid0001,aid0001,2019-02-21,31552,223680.0,368423,,,,
FireMask_2019053_aid0001,aid0001,2019-02-22,33339,79384.0,510920,,,10.0,2.0
FireMask_2019054_aid0001,aid0001,2019-02-23,30962,161881.0,430803,,,8.0,1.0
FireMask_2019055_aid0001,aid0001,2019-02-24,23877,234926.0,364851,,,1.0,
FireMask_2019056_aid0001,aid0001,2019-02-25,16898,300350.0,306403,,,3.0,1.0
FireMask_2019057_aid0001,aid0001,2019-02-26,16031,346066.0,261555,,,2.0,1.0
FireMask_2019058_aid0001,aid0001,2019-02-27,24078,253737.0,345839,,,1.0,
FireMask_2019059_aid0001,aid0001,2019-02-28,35055,94235.0,494363,,,2.0,
FireMask_2019060_aid0001,aid0001,2019-03-01,14323,400709.0,208623,,,,
FireMask_2019061_aid0001,aid0001,2019-03-02,13913,402937.0,206801,,,4.0,
FireMask_2019062_aid0001,aid0001,2019-03-03,30864,172502.0,420289,,,,
FireMask_2019063_aid0001,aid0001,2019-03-04,34168,62684.0,526800,,,3.0,
FireMask_2019064_aid0001,aid0001,2019-03-05,7513,458429.0,157713,,,,
FireMask_2019065_aid0001,aid0001,2019-03-06,15999,404436.0,203220,,,,
FireMask_2019066_aid0001,aid0001,2019-03-07,34120,141714.0,447821,,,,
FireMask_2019067_aid0001,aid0001,2019-03-08,33996,133171.0,456487,,,1.0,
FireMask_2019068_aid0001,aid0001,2019-03-09,26018,239272.0,358365,,,,
FireMask_2019069_aid0001,aid0001,2019-03-10,29150,179991.0,414514,,,,
FireMask_2019070_aid0001,aid0001,2019-03-11,34243,90523.0,498877,,,8.0,4.0
FireMask_2019071_aid0001,aid0001,2019-03-12,37393,108943.0,477308,,,7.0,4.0
FireMask_2019072_aid0001,aid0001,2019-03-13,36384,55108.0,532157,,,4.0,2.0
FireMask_2019073_aid0001,aid0001,2019-03-14,34407,51099.0,538142,,,7.0,
FireMask_2019074_aid0001,aid0001,2019-03-15,35005,34030.0,554606,,4.0,10.0,
FireMask_2019075_aid0001,aid0001,2019-03-16,36612,25885.0,561146,,,12.0,
FireMask_2019076_aid0001,aid0001,2019-03-17,39002,30691.0,553959,,,3.0,
FireMask_2019077_aid0001,aid0001,2019-03-18,36555,25330.0,561741,,,19.0,10.0
FireMask_2019078_aid0001,aid0001,2019-03-19,28182,154410.0,441054,,,4.0,5.0
FireMask_2019079_aid0001,aid0001,2019-03-20,25424,252484.0,345745,,,2.0,
FireMask_2019080_aid0001,aid0001,2019-03-21,33224,119052.0,471372,,,7.0,
FireMask_2019081_aid0001,aid0001,2019-03-22,32960,57653.0,533038,,,1.0,3.0
FireMask_2019082_aid0001,aid0001,2019-03-23,32976,205453.0,385224,,,2.0,
FireMask_2019083_aid0001,aid0001,2019-03-24,36239,35529.0,551887,,,,
FireMask_2019084_aid0001,aid0001,2019-03-25,21805,249466.0,352381,,,3.0,
FireMask_2019085_aid0001,aid0001,2019-03-26,29863,188635.0,405155,,,2.0,
FireMask_2019086_aid0001,aid0001,2019-03-27,26205,302623.0,294824,,,3.0,
FireMask_2019087_aid0001,aid0001,2019-03-28,32846,177134.0,413670,,,2.0,3.0
FireMask_2019088_aid0001,aid0001,2019-03-29,36479,49984.0,537186,,,6.0,
FireMask_2019089_aid0001,aid0001,2019-03-30,34560,22373.0,566714,,,5.0,3.0
FireMask_2019090_aid0001,aid0001,2019-03-31,35279,21065.0,567306,,,5.0,
FireMask_2019091_aid0001,aid0001,2019-04-01,22783,262417.0,338451,,,4.0,
FireMask_2019092_aid0001,aid0001,2019-04-02,31902,224991.0,366760,,,2.0,
FireMask_2019093_aid0001,aid0001,2019-04-03,37662,21729.0,564259,,,5.0,
FireMask_2019094_aid0001,aid0001,2019-04-04,14440,339793.0,269422,,,,
FireMask_2019095_aid0001,aid0001,2019-04-05,31498,156766.0,435391,,,,
FireMask_2019096_aid0001,aid0001,2019-04-06,19304,239792.0,364559,,,,
FireMask_2019097_aid0001,aid0001,2019-04-07,31150,134030.0,458475,,,,
FireMask_2019098_aid0001,aid0001,2019-04-08,21938,222452.0,379265,,,,
FireMask_2019099_aid0001,aid0001,2019-04-09,36017,48949.0,538684,,,5.0,
FireMask_2019100_aid0001,aid0001,2019-04-10,34374,19764.0,569502,,,7.0,8.0
FireMask_2019101_aid0001,aid0001,2019-04-11,27593,145707.0,450355,,,,
FireMask_2019102_aid0001,aid0001,2019-04-12,38501,22453.0,562698,,,,3.0
FireMask_2019103_aid0001,aid0001,2019-04-13,39529,12072.0,572028,,,26.0,
FireMask_2019104_aid0001,aid0001,2019-04-14,33550,98890.0,491214,,,1.0,
FireMask_2019105_aid0001,aid0001,2019-04-15,27793,161507.0,434351,,2.0,2.0,
FireMask_2019106_aid0001,aid0001,2019-04-16,34626,99657.0,489365,,,3.0,4.0
FireMask_2019107_aid0001,aid0001,2019-04-17,37197,10890.0,575547,,,15.0,6.0
FireMask_2019108_aid0001,aid0001,2019-04-18,39847,3123.0,580661,,,18.0,6.0
FireMask_2019109_aid0001,aid0001,2019-04-19,35865,7449.0,580329,,,8.0,4.0
FireMask_2019110_aid0001,aid0001,2019-04-20,32617,102063.0,488971,,1.0,1.0,2.0
FireMask_2019111_aid0001,aid0001,2019-04-21,34503,7451.0,581701,,,,
FireMask_2019112_aid0001,aid0001,2019-04-22,35786,6484.0,581375,,2.0,5.0,3.0
FireMask_2019113_aid0001,aid0001,2019-04-23,39586,6824.0,577233,,,5.0,7.0
FireMask_2019114_aid0001,aid0001,2019-04-24,39014,338.0,584269,,,13.0,21.0
FireMask_2019115_aid0001,aid0001,2019-04-25,36723,175.0,586732,,4.0,8.0,13.0
