File,aid,Date,0,1,2,4,5,6
QA_2019001_aid0001,aid0001,2019-01-01,1054.0,1221.0,38848.0,23202,14392,544938
QA_2019002_aid0001,aid0001,2019-01-02,911.0,578.0,6577.0,23382,14359,577848
QA_2019003_aid0001,aid0001,2019-01-03,5127.0,3582.0,76557.0,19161,10089,509139
QA_2019004_aid0001,aid0001,2019-01-04,3524.0,2300.0,9051.0,20666,9420,578694
QA_2019005_aid0001,aid0001,2019-01-05,4883.0,2504.0,103230.0,19482,13328,480228
QA_2019006_aid0001,aid0001,2019-01-06,9703.0,7393.0,177783.0,14502,8408,405866
QA_2019007_aid0001,aid0001,2019-01-07,13023.0,6381.0,163569.0,11260,9678,419744
QA_2019008_aid0001,aid0001,2019-01-08,1773.0,393.0,38404.0,22508,16183,544394
QA_2019009_aid0001,aid0001,2019-01-09,9313.0,3235.0,99470.0,14971,11911,484755
QA_2019010_aid0001,aid0001,2019-01-10,10034.0,5878.0,86877.0,14252,6037,500577
QA_2019011_aid0001,aid0001,2019-01-11,10055.0,3724.0,167396.0,14141,11574,416765
QA_2019012_aid0001,aid0001,2019-01-12,667.0,583.0,17465.0,23634,15486,565820
QA_2019013_aid0001,aid0001,2019-01-13,14931.0,4939.0,153345.0,9312,8953,432175
QA_2019014_aid0001,aid0001,2019-01-14,6610.0,6583.0,262348.0,17645,7905,322564
QA_2019015_aid0001,aid0001,2019-01-15,3913.0,2796.0,107813.0,20539,12648,475946
QA_2019016_aid0001,aid0001,2019-01-16,14185.0,3782.0,187182.0,10110,11566,396830
QA_2019017_aid0001,aid0001,2019-01-17,6009.0,3096.0,115745.0,18250,13282,467273
QA_2019018_aid0001,aid0001,2019-01-18,3344.0,1416.0,52580.0,20929,15024,530362
QA_2019019_aid0001,aid0001,2019-01-19,5246.0,3181.0,67295.0,19005,11482,517446
QA_2019020_aid0001,aid0001,2019-01-20,7319.0,1443.0,64544.0,16915,14329,519105
QA_2019021_aid0001,aid0001,2019-01-21,1547.0,904.0,65984.0,22764,13490,518966
QA_2019022_aid0001,aid0001,2019-01-22,3596.0,1366.0,32484.0,20644,13602,551963
QA_2019023_aid0001,aid0001,2019-01-23,3577.0,2146.0,46437.0,20703,13611,537181
QA_2019024_aid0001,aid0001,2019-01-24,3083.0,1460.0,31244.0,21151,11581,555136
QA_2019025_aid0001,aid0001,2019-01-25,2906.0,1912.0,22774.0,21362,9210,565491
QA_2019026_aid0001,aid0001,2019-01-26,18868.0,10453.0,296856.0,5470,2333,289675
QA_2019027_aid0001,aid0001,2019-01-27,2791.0,1014.0,7153.0,21380,12424,578893
QA_2019028_aid0001,aid0001,2019-01-28,5685.0,8093.0,353733.0,18641,7899,229604
QA_2019029_aid0001,aid0001,2019-01-29,4809.0,2027.0,15050.0,19451,13661,568657
QA_2019030_aid0001,aid0001,2019-01-30,8611.0,3827.0,105435.0,15639,9541,480602
QA_2019031_aid0001,aid0001,2019-01-31,7409.0,3622.0,118307.0,16790,8340,469187
QA_2019032_aid0001,aid0001,2019-02-01,14844.0,5992.0,271943.0,9501,8606,312769
QA_2019033_aid0001,aid0001,2019-02-02,1371.0,835.0,22000.0,22993,15595,560861
QA_2019034_aid0001,aid0001,2019-02-03,12391.0,6136.0,180498.0,11921,10040,402669
QA_2019035_aid0001,aid0001,2019-02-04,5544.0,1552.0,63105.0,18744,14412,520298
QA_2019036_aid0001,aid0001,2019-02-05,11555.0,4632.0,103658.0,12628,8312,482870
QA_2019037_aid0001,aid0001,2019-02-06,4452.0,1869.0,16028.0,19699,10993,570614
QA_2019038_aid0001,aid0001,2019-02-07,7333.0,5635.0,119018.0,17096,9786,464787
QA_2019039_aid0001,aid0001,2019-02-08,7261.0,4199.0,77732.0,17046,12047,505370
QA_2019040_aid0001,aid0001,2019-02-09,8315.0,4667.0,103699.0,15996,10279,480699
QA_2019041_aid0001,aid0001,2019-02-10,9963.0,3404.0,127909.0,14223,10105,458051
QA_2019042_aid0001,aid0001,2019-02-11,7433.0,4087.0,44467.0,16827,8966,541875
QA_2019043_aid0001,aid0001,2019-02-12,14399.0,3910.0,155352.0,9927,11787,428280
QA_2019044_aid0001,aid0001,2019-02-13,1.0,4.0,107.0,24330,16722,582491
QA_2019045_aid0001,aid0001,2019-02-14,4150.0,1472.0,23822.0,20102,14914,559195
QA_2019046_aid0001,aid0001,2019-02-15,13769.0,5283.0,148468.0,10483,9665,435987
QA_2019047_aid0001,aid0001,2019-02-16,7303.0,2986.0,48004.0,16990,10426,537946
QA_2019048_aid0001,aid0001,2019-02-17,9449.0,2465.0,115268.0,14689,10917,470867
QA_2019049_aid0001,aid0001,2019-02-18,715.0,664.0,47110.0,23576,15188,536402
QA_2019050_aid0001,aid0001,2019-02-19,1513.0,703.0,22855.0,22767,14541,561276
QA_2019051_aid0001,aid0001,2019-02-20,11300.0,4468.0,185503.0,12902,10622,398860
QA_2019052_aid0001,aid0001,2019-02-21,10214.0,3580.0,69293.0,13991,8762,517815
QA_2019053_aid0001,aid0001,2019-02-22,1004.0,400.0,5076.0,23179,12018,581978
QA_2019054_aid0001,aid0001,2019-02-23,5231.0,5282.0,132610.0,19117,10188,451227
QA_2019055_aid0001,aid0001,2019-02-24,1412.0,1389.0,34806.0,22869,14989,548190
QA_2019056_aid0001,aid0001,2019-02-25,874.0,523.0,13928.0,23402,15890,569038
QA_2019057_aid0001,aid0001,2019-02-26,9040.0,2395.0,169112.0,15216,13450,414442
QA_2019058_aid0001,aid0001,2019-02-27,13269.0,4011.0,81946.0,11021,10698,502710
QA_2019059_aid0001,aid0001,2019-02-28,9342.0,3615.0,110342.0,14873,10636,474847
QA_2019060_aid0001,aid0001,2019-03-01,6384.0,2876.0,87542.0,17888,13582,495383
QA_2019061_aid0001,aid0001,2019-03-02,2707.0,1016.0,20449.0,21601,15374,562508
QA_2019062_aid0001,aid0001,2019-03-03,11598.0,5336.0,157199.0,12662,9083,427777
QA_2019063_aid0001,aid0001,2019-03-04,18076.0,9038.0,267472.0,6109,3239,319721
QA_2019064_aid0001,aid0001,2019-03-05,4776.0,988.0,31617.0,19566,14943,551765
QA_2019065_aid0001,aid0001,2019-03-06,4078.0,2267.0,85223.0,20200,14066,497821
QA_2019066_aid0001,aid0001,2019-03-07,10825.0,7249.0,191714.0,13429,8391,392047
QA_2019067_aid0001,aid0001,2019-03-08,5882.0,3683.0,84592.0,18338,10318,500842
QA_2019068_aid0001,aid0001,2019-03-09,10872.0,4547.0,119870.0,13399,9907,465060
QA_2019069_aid0001,aid0001,2019-03-10,11217.0,4424.0,134134.0,13060,8992,451828
QA_2019070_aid0001,aid0001,2019-03-11,6494.0,2094.0,163367.0,17762,12896,421042
QA_2019071_aid0001,aid0001,2019-03-12,2235.0,2277.0,81797.0,22073,13668,501605
QA_2019072_aid0001,aid0001,2019-03-13,752.0,838.0,16046.0,23556,12632,569831
QA_2019073_aid0001,aid0001,2019-03-14,6254.0,3166.0,32383.0,17887,8485,555480
QA_2019074_aid0001,aid0001,2019-03-15,3438.0,1018.0,18869.0,20892,10783,568655
QA_2019075_aid0001,aid0001,2019-03-16,1108.0,732.0,17400.0,23147,12449,568819
QA_2019076_aid0001,aid0001,2019-03-17,2585.0,1556.0,35953.0,21687,14241,547633
QA_2019077_aid0001,aid0001,2019-03-18,7084.0,1568.0,31465.0,17108,12136,554294
