File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
VNP14A1_001_MaxFRP_doy2019001_aid0001,MaxFRP,aid0001,2019-01-01,2.0,8.2,15.1,"(8.2,15.1)",11.65,3.45,11.9025,13.375,15.1,11.65,8.2,9.925
VNP14A1_001_MaxFRP_doy2019002_aid0001,MaxFRP,aid0001,2019-01-02,25.0,3.9,78.7,"(3.9,78.7)",10.788,14.8404399,220.238656,8.1,11.0,6.3,3.9,5.6
VNP14A1_001_MaxFRP_doy2019003_aid0001,MaxFRP,aid0001,2019-01-03,6.0,4.5,27.8,"(4.5,27.8)",15.2666667,9.4098648,88.5455556,24.25,27.8,12.8,4.5,7.425
VNP14A1_001_MaxFRP_doy2019004_aid0001,MaxFRP,aid0001,2019-01-04,22.0,6.8,25.3,"(6.8,25.3)",13.9636364,4.8457615,23.481405,16.0,19.4,13.95,6.8,10.1
VNP14A1_001_MaxFRP_doy2019007_aid0001,MaxFRP,aid0001,2019-01-07,36.0,3.2,74.7,"(3.2,74.7)",12.1888889,13.6882508,187.3682099,11.4,19.3,8.2,3.2,6.1
VNP14A1_001_MaxFRP_doy2019008_aid0001,MaxFRP,aid0001,2019-01-08,8.0,4.6,96.7,"(4.6,96.7)",25.0,30.1205495,907.2475,29.075,46.1,7.3,4.6,7.3
VNP14A1_001_MaxFRP_doy2019009_aid0001,MaxFRP,aid0001,2019-01-09,5.0,4.6,10.5,"(4.6,10.5)",8.06,2.8260219,7.9864,10.3,10.5,10.3,4.6,4.6
VNP14A1_001_MaxFRP_doy2019010_aid0001,MaxFRP,aid0001,2019-01-10,1.0,16.0,16.0,"(16.0,16.0)",16.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0
VNP14A1_001_MaxFRP_doy2019012_aid0001,MaxFRP,aid0001,2019-01-12,22.0,6.2,72.4,"(6.2,72.4)",19.9954545,20.5143958,420.8404339,21.925,25.9,10.2,6.2,8.725
VNP14A1_001_MaxFRP_doy2019013_aid0001,MaxFRP,aid0001,2019-01-13,2.0,3.7,6.7,"(3.7,6.7)",5.2,1.5,2.25,5.95,6.7,5.2,3.7,4.45
VNP14A1_001_MaxFRP_doy2019019_aid0001,MaxFRP,aid0001,2019-01-19,1.0,5.7,5.7,"(5.7,5.7)",5.7,0.0,0.0,5.7,5.7,5.7,5.7,5.7
VNP14A1_001_MaxFRP_doy2019020_aid0001,MaxFRP,aid0001,2019-01-20,2.0,7.4,12.8,"(7.4,12.8)",10.1,2.7,7.29,11.45,12.8,10.1,7.4,8.75
VNP14A1_001_MaxFRP_doy2019021_aid0001,MaxFRP,aid0001,2019-01-21,1.0,8.5,8.5,"(8.5,8.5)",8.5,0.0,0.0,8.5,8.5,8.5,8.5,8.5
VNP14A1_001_MaxFRP_doy2019022_aid0001,MaxFRP,aid0001,2019-01-22,1.0,5.7,5.7,"(5.7,5.7)",5.7,0.0,0.0,5.7,5.7,5.7,5.7,5.7
VNP14A1_001_MaxFRP_doy2019023_aid0001,MaxFRP,aid0001,2019-01-23,11.0,5.6,24.9,"(5.6,24.9)",10.5909091,6.9069734,47.706281,10.2,11.0,7.2,5.6,6.9
VNP14A1_001_MaxFRP_doy2019024_aid0001,MaxFRP,aid0001,2019-01-24,15.0,4.4,27.6,"(4.4,27.6)",9.78,7.6255885,58.1496,8.55,9.9,6.5,4.4,5.1
VNP14A1_001_MaxFRP_doy2019025_aid0001,MaxFRP,aid0001,2019-01-25,3.0,12.7,29.3,"(12.7,29.3)",23.5,7.6437338,58.4266667,28.9,29.3,28.5,12.7,20.6
VNP14A1_001_MaxFRP_doy2019026_aid0001,MaxFRP,aid0001,2019-01-26,4.0,24.2,203.9,"(24.2,203.9)",158.975,77.8123825,6054.766875,203.9,203.9,203.9,203.9,158.975
VNP14A1_001_MaxFRP_doy2019028_aid0001,MaxFRP,aid0001,2019-01-28,1.0,6.5,6.5,"(6.5,6.5)",6.5,0.0,0.0,6.5,6.5,6.5,6.5,6.5
VNP14A1_001_MaxFRP_doy2019029_aid0001,MaxFRP,aid0001,2019-01-29,26.0,4.0,69.0,"(4.0,69.0)",10.4076923,12.822214,164.4091716,10.125,11.1,6.6,4.0,4.9
